Data,Valore patrimoniale netto (USD)
25 ottobre 2024,138.1035 $ USA
24 ottobre 2024,138.1444 $ USA
23 ottobre 2024,137.9520 $US
22 ottobre 2024,139.0679 $US
21 ottobre 2024,139.4558 $US
18 ottobre 2024,139.9810 $US
17 ottobre 2024,139.2164 $ USA
16 ottobre 2024,139.2531 $US
15 ottobre 2024,139.1219 $US
14 ottobre 2024,140.0504 $US
11 ottobre 2024,139.3692 $ USA
10 ottobre 2024,138.6494 $US
09 ottobre 2024,138.6672 $US
08 ottobre 2024,138.0789 $US
07 ottobre 2024,137.9694 $US
04 ottobre 2024,138.5390 $US
03 ottobre 2024,137.7079 $US
02 ottobre 2024,138.2636 $ USA
01 ottobre 2024,138.3393 $US
30 settembre 2024,139.2741 $ USA
27 settembre 2024,139.4540 $ USA
26 settembre 2024,138.9788 $US
25 settembre 2024,137.7719 $US
24 settembre 2024,137.9183 $US
23 settembre 2024,137.1781 $ USA
20 settembre 2024,136.7575 $US
19 settembre 2024,137.1080 $ USA
18 settembre 2024,134.9712 $US
17 settembre 2024,135.3546 $US
16 settembre 2024,135.3042 $ USA
13 settembre 2024,$ 135.0563 USD
12 settembre 2024,$ 134.1874 USD
11 settembre 2024,$ 133.3607 USD
10 settembre 2024,$ 132.6009 USD
9 settembre 2024,$ 132.4220 USD
6 settembre 2024,$131.6777
5 settembre 2024,"$ 133,2756 USD"
4 settembre 2024,"$ 133,6413 USD"
3 settembre 2024,"$ 134,3574 USD"
2 settembre 2024,$ 136.4593 USD
30 agosto 2024,$ 136.5721 USD
29 agosto 2024,$ 135.5320 USD
28 agosto 2024,$ 135.5154 USD
27 agosto 2024,$ 136.0480 USD
26 agosto 2024,"$ 135,9048 USD"
23 agosto 2024,$ 136.1049 USD
22 agosto 2024,"$ 134,7322 USD"
21 agosto 2024,$ 135.4651 USD
20 agosto 2024,"$ 135,0427 USD"
19 agosto 2024,$ 135.0766 USD
16 agosto 2024,"$ 133,8443 USD"
15 agosto 2024,$133.0303
14 agosto 2024,$ 131.5213 USD
13 agosto 2024,"$ 130,7485 USD"
12 agosto 2024,"$ 128,8966 USD"
9 agosto 2024,$ 128.8849 USD
8 agosto 2024,"$ 127,9806 USD"
7 agosto 2024,$ 126.2392 USD
