Data,Valore patrimoniale netto (USD)
5 maggio 2020,"$79,0671 USA"
4 maggio 2020,"$78,2801 USA"
1 maggio 2020,"$78,8359 USA"
30 aprile 2020,"$80,5753 USA"
29 aprile 2020,"$81,0997 USA"
28 aprile 2020,"$79,2949 USA"
27 aprile 2020,"$79,1705 USA"
24 aprile 2020,"$77,8045 USA"
23 aprile 2020,"$77,4876 USA"
22 aprile 2020,"$77,2316 USA"
21 aprile 2020,75.9050 $US
20 aprile 2020,78.2293 $US
17 aprile 2020,79.0531 $US
16 aprile 2020,77.0601 $US
15 aprile 2020,76.9586 $US
14 aprile 2020,78.6470 $US
13 aprile 2020,76.7848 $US
09 aprile 2020,77.2862 $US
08 aprile 2020,76.0928 $US
07 aprile 2020,74.5929 $US
06 aprile 2020,73.8402 $US
03 aprile 2020,70.0433 $US
02 aprile 2020,71.0084 $US
01 aprile 2020,70.1607 $ USA
31 marzo 2020,72.8347 $US
30 marzo 2020,73.2506 $US
27 marzo 2020,71.8162 $US
26 marzo 2020,73.5189 $US
25 marzo 2020,70.6976 $US
24 marzo 2020,68.8295 $US
23 marzo 2020,63.5259 $US
20 marzo 2020,65.6871 $US
19 marzo 2020,66.7608 $US
18 marzo 2020,66.5491 $US
17 marzo 2020,70.0560 $US
16 marzo 2020,67.7559 $US
13 marzo 2020,74.4785 $US
12 marzo 2020,70.8247 $ USA
11 marzo 2020,78.2512 $US
10 marzo 2020,81.1677 $US
09 marzo 2020,79.0684 $US
06 marzo 2020,85.0385 $US
05 marzo 2020,86.8097 $US
04 marzo 2020,88.5085 $US
03 marzo 2020,86.2453 $US
02 marzo 2020,87.2366 $US
28 febbraio 2020,84.6772 $US
27 febbraio 2020,$ 86.1792 USD
26 febbraio 2020,"$89,0927 USD"
25 febbraio 2020,$89.6039 USD
24 febbraio 2020,"$91,6988 USD"
21 febbraio 2020,$ 94.4818 USD
20 febbraio 2020,"$95,1775 USD"
19 febbraio 2020,$ 95.6500 USD
18 febbraio 2020,$ 95.2169 USD
17 febbraio 2020,$ 95.6661 USD
14 febbraio 2020,$ 95.6796 USD
13 febbraio 2020,$ 95.6340 USD
12 febbraio 2020,$ 95.8309 USD
11 febbraio 2020,"$95,2577 USD"
10 febbraio 2020,"$94,8435 USD"
7 febbraio 2020,$ 94.6162 USD
6 febbraio 2020,$ 95.1206 USD
5 febbraio 2020,$ 94.5744 USD
febbraio 2020,$ 93.7806 USD
3 febbraio 2020,$ 92.4231 USD
31 gennaio 2020,$ 92.1313 USA
30 gennaio 2020,$ 93.2368 USD
29 gennaio 2020,$ 93.5401 USD
28 gennaio 2020,"$93,5435 USD"
27 gennaio 2020,"$92,9986 USD"
24 gennaio 2020,"$94,5405 USD"
23 gennaio 2020,$ 94.9300 USD
22 gennaio 2020,$ 95.1950 USD
21 gennaio 2020,"$95,0905 USD"
20 gennaio 2020,$ 95.4783 USD
17 gennaio 2020,$ 95.5112 USD
16 gennaio 2020,$ 95.1242 USD
15 gennaio 2020,"$94,6185 USD"
14 gennaio 2020,"$94,5519 USD"
13 gennaio 2020,$ 94.5410 USD
10 gennaio 2020,"$94,0827 USD"
9 gennaio 2020,"$94,1148 USD"
gennaio 2020,$ 93.4734 USD
7 gennaio 2020,$ 93.3712 USD
6 gennaio 2020,$ 93.3889 USD
3 gennaio 2020,$ 93.4737 USD
2 gennaio 2020,"$93,9643 USD"
31 dicembre 2019,"$93,2154 USD"
30 dicembre 2019,"$93,0752 USD"
27 dicembre 2019,$ 93.4674 USD
26 dicembre 2019,$ 93.2031 USD
24 dicembre 2019,"$92,8853 USD"
23 dicembre 2019,"$92,8642 USD"
20 dicembre 2019,$ 92.8008 USD
19 dicembre 2019,$ 92.4720 USD
18 dicembre 2019,"$92,2418 USD"
17 dicembre 2019,$ 92.2870 USD
16 dicembre 2019,$ 92.1674 USD
13 dicembre 2019,"$91,5458 USD"
12 dicembre 2019,"$90,9948 USD"
11 dicembre 2019,"$90,6537 USD"
10 dicembre 2019,"90,3737 dollari USA"
09 dicembre 2019,"90,4896 dollari USA"
06 dicembre 2019,"90,5800 dollari USA"
05 dicembre 2019,"89,8968 dollari USA"
4 dicembre 2019,"89,7104 dollari USA"
03 dicembre 2019,"89,2812 dollari USA"
02 dicembre 2019,"89,7819 dollari USA"
29 novembre 2019,"90,2920 dollari USA"
28 novembre 2019,"90,7168 dollari USA"
27 novembre 2019,"90,7679 dollari USA"
26 novembre 2019,"90,4340 dollari USA"
25 novembre 2019,"90,3479 dollari USA"
22 novembre 2019,"89,7077 dollari USA"
21 novembre 2019,"89,5434 dollari USA"
20 novembre 2019,"89,7750 dollari USA"
19 novembre 2019,"90,1692 dollari USA"
18 novembre 2019,"90,1503 dollari USA"
15 novembre 2019,"90,0104 dollari USA"
14 novembre 2019,89.3266 $US
13 novembre 2019,89.4288 $US
12 novembre 2019,89.6105 $US
11 novembre 2019,89.4463 $US
08 novembre 2019,89.6451 $US
07 novembre 2019,89.6601 $US
06 novembre 2019,89.3954 $US
05 novembre 2019,89.3436 $US
04 novembre 2019,89.3505 $US
01 novembre 2019,88.8760 $US
31 ottobre 2019,88.1674 $US
30 ottobre 2019,88.2760 $US
29 ottobre 2019,88.1458 $US
28 ottobre 2019,88.0695 $US
25 ottobre 2019,87.6998 $US
24 ottobre 2019,87.4652 $US
23 ottobre 2019,87.1488 $US
22 ottobre 2019,87.0369 $US
21 ottobre 2019,87.1580 $US
18 ottobre 2019,86.6346 $US
17 ottobre 2019,86.8916 $US
16 ottobre 2019,86.6275 $US
15 ottobre 2019,86.6157 $US
14 ottobre 2019,85.8444 $US
11 ottobre 2019,85.9261 $US
10 ottobre 2019,84.7584 $US
09 ottobre 2019,84.2856 $US
08 ottobre 2019,83.8241 $US
07 ottobre 2019,84.7629 $US
04 ottobre 2019,84.8485 $US
03 ottobre 2019,84.0315 $US
02 ottobre 2019,83.6558 $US
01 ottobre 2019,85.0245 $US
30 settembre 2019,85.7680 $US
27 settembre 2019,85.6275 $US
26 settembre 2019,85.9019 $US
25 settembre 2019,86.3002 $US
24 settembre 2019,86.2854 $US
23 settembre 2019,86.7150 USD
20 settembre 2019,"$86,8984 USD"
19 settembre 2019,"$87,0937 USD"
18 settembre 2019,"$87,0066 USD"
17 settembre 2019,"$87,0014 USD"
16 settembre 2019,"$86,8841 USD"
13 settembre 2019,"$87,2423 USD"
12 settembre 2019,$ 87.0264 USD
11 settembre 2019,$86.7011 USD
10 settembre 2019,"$86,0727 USD"
9 settembre 2019,$ 86.0487 USD
6 settembre 2019,$86.0149 USD
5 settembre 2019,"$85,7919 USD"
4 settembre 2019,"$84,7977 USD"
3 settembre 2019,$83.8380 USD
2 settembre 2019,$ 84.2617 USD
30 agosto 2019,$ 84.3403 USD
29 agosto 2019,"$83,9897 USD"
28 agosto 2019,83.2013 dollari USA
27 agosto 2019,"$82,9432 USD"
26 agosto 2019,"$82,9175 USD"
23 agosto 2019,"$82,6917 USD"
22 agosto 2019,"$83,9634 USD"
21 agosto 2019,"$84,1522 USD"
20 agosto 2019,$ 83.5772 USD
19 agosto 2019,$83.9790 USD
16 agosto 2019,$ 83.0944 USD
15 agosto 2019,$ 82.1379 USD
14 agosto 2019,$ 82.2643 USD
13 agosto 2019,"$83,9368 USD"
12 agosto 2019,$ 83.4337 USD
9 agosto 2019,$ 84.0898 USD
8 agosto 2019,"$84,5015 USD"
7 agosto 2019,$83.2314 USD
6 agosto 2019,$ 83.0564 USD
5 agosto 2019,"$82,6551"
2 agosto 2019,"$84,7776"
1 agosto 2019,"$85,7785 USD"
31 luglio 2019,"$86,3839 USD"
30 luglio 2019,"$86,9838 USD"
29 luglio 2019,$ 87.3256 USD
26 luglio 2019,$ 87.4573 USD
25 luglio 2019,"$87,2234 USD"
24 luglio 2019,"$87,5945 USD"
23 luglio 2019,$87.3069 USD
22 luglio 2019,$ 86.8797 USD
19 luglio 2019,$86.8101 USD
18 luglio 2019,$86.8610 USD
17 luglio 2019,"$86,8829 USD"
16 luglio 2019,$87.2932 USD
15 luglio 2019,$ 87.4878 USD
12 luglio 2019,$ 87.3651 USD
11 luglio 2019,$ 87.1528 USD
10 luglio 2019,"$86,9386 USD"
9 luglio 2019,$ 86.6147 USD
8 luglio 2019,"$86,6853 USD"
luglio 2019,$87.1909 USD
4 luglio 2019,$87.5730 USD
3 luglio 2019,$ 87.4486 USD
2 luglio 2019,"$86,9666"
1 luglio 2019,"$86,7456 USD"
28 giugno 2019,$ 86.1586 USD
27 giugno 2019,$ 85.7495 USD
26 giugno 2019,$86.0146 USD
25 giugno 2019,$ 86.1678 USD
24 giugno 2019,$86.7321 USD
21 giugno 2019,$86.7112 USD
20 giugno 2019,"$86,9041 USD"
19 giugno 2019,"$85,9815 USD"
18 giugno 2019,$ 85.4638 USD
17 giugno 2019,$ 84.6421 USD
14 giugno 2019,"$84,6943 USD"
13 giugno 2019,"$84,9620 USD"
12 giugno 2019,"$84,9054 USD"
11 giugno 2019,"$85,1575 USD"
10 giugno 2019,$84.8990 USD
7 giugno 2019,$ 84.4672 USD
6 giugno 2019,"$83,6245 USD"
5 giugno 2019,"$83,3425 USD"
4 giugno 2019,$ 82.6984 USD
3 giugno 2019,"$81,5953 USD"
31 maggio 2019,$ 81.5278 USD
30 maggio 2019,$ 82.1988 USD
29 maggio 2019,$ 82.0387 USD
28 maggio 2019,$ 82.7506 USD
27 maggio 2019,$83.1611 USD
24 maggio 2019,"$83,0829 USD"
23 maggio 2019,$ 82.7860 USD
22 maggio 2019,$ 83.7280 USD
21 maggio 2019,"$83,9361 USD"
20 maggio 2019,$ 83.4350 USD
17 maggio 2019,"$83,8565 USD"
16 maggio 2019,$ 84.3087 USD
15 maggio 2019,"$83,7707"
14 maggio 2019,"83,3417 $US"
13 maggio 2019,"82,9403 $US"
10 maggio 2019,"84,4692 $US"
09 maggio 2019,84.1598 $US
08 maggio 2019,"84,7831 $US"
07 maggio 2019,"84,9681 $US"
06 maggio 2019,86.0841 $US
03 maggio 2019,"86,6456 $US"
02 maggio 2019,86.0212 $US
01 maggio 2019,"86,3358 $US"
30 aprile 2019,"86,6127 $US"
29 aprile 2019,"86,5236 $US"
26 aprile 2019,86.4048 $US
25 aprile 2019,86.0944 $US
24 aprile 2019,"86,2653 $US"
23 aprile 2019,"86,5082 $US"
22 aprile 2019,86.0471 $US
18 aprile 2019,86.0364 $US
17 aprile 2019,86.1084 $US
16 aprile 2019,86.1493 $US
15 aprile 2019,86.0179 $US
12 aprile 2019,85.9539 $US
11 aprile 2019,85.5230 $US
10 aprile 2019,85.6052 $US
09 aprile 2019,85.4120 $US
08 aprile 2019,85.6864 $US
05 aprile 2019,85.5521 $US
04 aprile 2019,85.2597 $US
03 aprile 2019,85.2505 $US
02 aprile 2019,84.7625 $US
01 aprile 2019,84.7573 $US
29 marzo 2019,83.7915 $US
28 marzo 2019,83.2218 $US
27 marzo 2019,83.5564 $US
26 marzo 2019,83.8531 $US
25 marzo 2019,83.2670 $US
22 marzo 2019,83.6636 $US
21 marzo 2019,84.8894 $US
20 marzo 2019,84.3265 $US
19 marzo 2019,84.6396 $US
18 marzo 2019,84.5240 $US
15 marzo 2019,84.0955 $US
14 marzo 2019,$83.5590 USD
13 marzo 2019,$83.5372 USD
12 marzo 2019,$ 83.1184 USD
11 marzo 2019,$ 82.7130 USD
8 marzo 2019,"$81,7933 USD"
7 marzo 2019,$ 82.2839 USD
6 marzo 2019,"$82,9675 USD"
5 marzo 2019,$ 83.2599 USD
4 marzo 2019,$ 83.3509 USD
1 marzo 2019,$ 83.5195 USD
28 febbraio 2019,$ 83.1401 USD
27 febbraio 2019,$ 83.4383 USD
26 febbraio 2019,$83.4519 USD
25 febbraio 2019,$ 83.4707 USD
22 febbraio 2019,$83.2106 USD
21 febbraio 2019,$ 82.8118 USD
20 febbraio 2019,"$82,9999 USD"
19 febbraio 2019,$82.6021 USD
18 febbraio 2019,$ 82.4731 USD
15 febbraio 2019,$82.1952 USD
14 febbraio 2019,$81.6104 USD
13 febbraio 2019,"$81,7918 USD"
12 febbraio 2019,$81.5132 USD
11 febbraio 2019,$ 80.6109 USD
8 febbraio 2019,$ 80.5813 USD
7 febbraio 2019,"$80,8655 USD"
6 febbraio 2019,"$81,6425 USD"
5 febbraio 2019,$81.8159 USD
4 febbraio 2019,$81.3112 USD
1 febbraio 2019,$ 81.0451 USD
31 gennaio 2019,$81.0121 USD
30 gennaio 2019,"$80,2522 USD"
29 gennaio 2019,$79.4530 USD
28 gennaio 2019,$79.4140 USD
25 gennaio 2019,$79.9109 USD
24 gennaio 2019,$ 79.1487 USD
23 gennaio 2019,"$78,9656 USD"
22 gennaio 2019,$78.9070 USD
21 gennaio 2019,$79.7388 USD
18 gennaio 2019,$79.7321 USD
17 gennaio 2019,"$78,7677"
16 gennaio 2019,$78.4494 USD
15 gennaio 2019,$78.3156 USD
14 gennaio 2019,$77.6692 USD
11 gennaio 2019,"$78,0537 USD"
10 gennaio 2019,"$78,0545 USD"
9 gennaio 2019,"$77,7827 USD"
8 gennaio 2019,$77.0638 USD
7 gennaio 2019,$76.5368 USD
4 gennaio 2019,$75.8613 USD
3 gennaio 2019,"$73,9626 USD"
2 gennaio 2019,"$74,9742 USD"
31 dicembre 2018,$75.1598 USD
28 dicembre 2018,"$74,6642 USD"
27 dicembre 2018,$74.2551
26 dicembre 2018,$ 74.1292 USD
24 dicembre 2018,$72.5120 USD
21 dicembre 2018,"$73,6584 USD"
20 dicembre 2018,"$74,6542 USD"
19 dicembre 2018,"$75,7834 USD"
18 dicembre 2018,$76.2626
17 dicembre 2018,$76.5353 USD
14 dicembre 2018,$77.5385 USD
13 dicembre 2018,"$78,7721 USD"
12 dicembre 2018,"$78,7526 USD"
11 dicembre 2018,$77.8618 USD
10 dicembre 2018,$77.7813 USD
7 dicembre 2018,$78.4252 USD
6 dicembre 2018,$79.2766 USD
5 dicembre 2018,$ 80.1176 USD
4 dicembre 2018,$ 80.5208 USD
3 dicembre 2018,$82.2811 USD
30 novembre 2018,$ 81.1872 USD
29 novembre 2018,"$81,0018 USD"
28 novembre 2018,"80,7341 dollari USA"
27 novembre 2018,"79,6003 dollari USA"
26 novembre 2018,"79,5313 dollari USA"
23 novembre 2018,"78,6198 dollari USA"
22 novembre 2018,"78,9915 dollari USA"
21 novembre 2018,"78,9976 dollari USA"
20 novembre 2018,"78,7063 dollari USA"
19 novembre 2018,"80,0050 dollari USA"
16 novembre 2018,"80,7508 dollari USA"
15 novembre 2018,"80,5073 dollari USA"
14 novembre 2018,"79,9972 dollari USA"
13 novembre 2018,"80,3611 dollari USA"
12 novembre 2018,"80,4408 dollari USA"
09 novembre 2018,"81,7399 dollari USA"
08 novembre 2018,"82,5627 dollari USA"
07 novembre 2018,"82,6205 dollari USA"
06 novembre 2018,"81,3911 dollari USA"
05 novembre 2018,"81,0332 dollari USA"
02 novembre 2018,"80,9325 dollari USA"
01 novembre 2018,80.8298 $US
31 ottobre 2018,80.0216 $US
30 ottobre 2018,78.9645 $US
29 ottobre 2018,78.2059 $US
26 ottobre 2018,78.4516 $US
25 ottobre 2018,79.3729 $US
24 ottobre 2018,78.8320 $US
23 ottobre 2018,80.4579 $US
22 ottobre 2018,81.3690 $US
19 ottobre 2018,81.5807 $US
18 ottobre 2018,81.6629 $US
17 ottobre 2018,82.6486 $US
16 ottobre 2018,82.7009 $US
15 ottobre 2018,81.3179 $US
12 ottobre 2018,81.6963 $US
11 ottobre 2018,80.8310 $US
10 ottobre 2018,82.6578 $US
09 ottobre 2018,84.4395 $US
08 ottobre 2018,84.6282 $US
05 ottobre 2018,84.9520 $US
04 ottobre 2018,85.5285 $US
03 ottobre 2018,86.3693 $US
02 ottobre 2018,86.3667 $US
01 ottobre 2018,86.6404 $US
28 settembre 2018,86.5074 $US
27 settembre 2018,86.7108 $US
26 settembre 2018,87.1509 $US
25 settembre 2018,87.2310 $US
24 settembre 2018,87.1748 $US
21 settembre 2018,87.5033 $US
20 settembre 2018,87.2118 $US
19 settembre 2018,86.5322 $US
18 settembre 2018,86.2082 $US
17 settembre 2018,85.7547 $US
14 settembre 2018,86.0592 $US
13 settembre 2018,85.8079 $US
12 settembre 2018,85.3179 $US
11 settembre 2018,85.1231 $US
10 settembre 2018,85.0237 $US
07 settembre 2018,84.9494 $US
06 settembre 2018,85.1351 $US
05 settembre 2018,85.4496 USD
4 settembre 2018,"$85,9529 USD"
3 settembre 2018,"$86,3937 USD"
31 agosto 2018,"$86,5528 USD"
30 agosto 2018,"$86,7789 USD"
29 agosto 2018,"$87,2125 USD"
28 agosto 2018,"$86,9254 USD"
27 agosto 2018,"$86,8254 USD"
24 agosto 2018,$86.0002 USA
23 agosto 2018,$ 85.5417 USD
22 agosto 2018,$85.8021 USD
21 agosto 2018,$ 85.5898 USD
20 agosto 2018,$ 85.2579 USD
17 agosto 2018,$84.9120 USD
16 agosto 2018,"$84,6439 USD"
15 agosto 2018,$ 84.1107 USD
14 agosto 2018,$85.0329 USD
13 agosto 2018,"$84,6863 USD"
10 agosto 2018,$85.3121 USD
9 agosto 2018,$86.3005 USD
8 agosto 2018,"$86,3647 USD"
agosto 2018,$ 86.3866 USD
6 agosto 2018,"$85,9606 USD"
3 agosto 2018,"$85,9233 USD"
2 agosto 2018,$ 85.5876 USD
1 agosto 2018,$ 85.8381 USD
31 luglio 2018,"$85,9684 USD"
30 luglio 2018,$ 85.8472 USD
27 luglio 2018,$86.1212 USD
26 luglio 2018,$ 86.2759 USD
25 luglio 2018,"$86,2477 USD"
24 luglio 2018,$85.8020 USD
23 luglio 2018,$ 85.2769 USD
20 luglio 2018,$ 85.2724 USD
19 luglio 2018,$ 85.0223 USD
18 luglio 2018,$ 85.3608 USD
17 luglio 2018,$ 85.2242 USD
16 luglio 2018,$ 85.0198 USD
13 luglio 2018,$ 85.1251 USD
12 luglio 2018,$ 84.9398 USD
11 luglio 2018,$ 84.4193 USD
10 luglio 2018,$ 85.1765 USD
9 luglio 2018,"$85,0072 USD"
6 luglio 2018,$ 84.2261 USD
5 luglio 2018,$ 83.5582 USD
4 luglio 2018,$ 83.0722 USD
3 luglio 2018,"$83,0753 USD"
2 luglio 2018,$ 83.0800 USD
29 giugno 2018,$ 83.4496 USD
28 giugno 2018,$82.9201 USD
27 giugno 2018,$ 82.8474 USD
26 giugno 2018,$ 83.3984 USD
25 giugno 2018,$ 83.3308 USD
22 giugno 2018,$84.4920 USD
21 giugno 2018,$ 84.0970 USD
20 giugno 2018,$85.2303 USD
19 giugno 2018,"$84,9277 USD"
18 giugno 2018,$ 85.6309 USD
15 giugno 2018,$86.0124 USD
14 giugno 2018,$86.4071 USD
13 giugno 2018,$ 86.4284 USD
12 giugno 2018,86.6410 $US
11 giugno 2018,86.5989 $US
08 giugno 2018,86.3265 $US
07 giugno 2018,86.4515 $US
06 giugno 2018,86.3955 $US
05 giugno 2018,85.7305 $US
04 giugno 2018,85.8331 $US
01 giugno 2018,85.2362 $US
31 maggio 2018,84.5804 $US
30 maggio 2018,84.7433 $US
29 maggio 2018,84.2508 $US
28 maggio 2018,85.1984 $US
25 maggio 2018,85.3225 $US
24 maggio 2018,85.5495 $US
23 maggio 2018,85.7123 $US
22 maggio 2018,86.0079 $US
21 maggio 2018,86.0114 $US
18 maggio 2018,85.6736 $US
17 maggio 2018,85.8735 $US
16 maggio 2018,85.8505 $US
15 maggio 2018,85.7010 $US
14 maggio 2018,"86,4324 $US"
11 maggio 2018,"86,2359 $US"
10 maggio 2018,"85,8292 $US"
09 maggio 2018,85.2049 $US
08 maggio 2018,"84,6690 $US"
07 maggio 2018,"84,7048 $US"
04 maggio 2018,"84,4094 $US"
03 maggio 2018,"83,7844 $US"
02 maggio 2018,"84,0657 $US"
01 maggio 2018,"84,4046 $US"
30 aprile 2018,"84,5253 $US"
27 aprile 2018,84.7901 $US
26 aprile 2018,84.5390 $US
25 aprile 2018,"83,9422 $US"
24 aprile 2018,84.2187 $US
23 aprile 2018,"84,7855 $US"
20 aprile 2018,"84,9629 $US"
19 aprile 2018,"85,6742 $US"
18 aprile 2018,"85,8635 $US"
17 aprile 2018,"85,4964 $US"
16 aprile 2018,84.9141 $US
13 aprile 2018,84.5811 $US
12 aprile 2018,84.6877 $US
11 aprile 2018,84.3812 $US
10 aprile 2018,84.6377 $US
09 aprile 2018,83.5261 $US
06 aprile 2018,83.2066 $US
05 aprile 2018,84.1893 $US
04 aprile 2018,83.3964 $US
03 aprile 2018,83.0867 $US
02 aprile 2018,82.7276 $US
29 marzo 2018,83.6560 $US
28 marzo 2018,82.9760 $US
27 marzo 2018,83.3914 $US
26 marzo 2018,83.7984 $US
23 marzo 2018,82.5741 $US
22 marzo 2018,84.0749 $US
21 marzo 2018,85.7656 $US
20 marzo 2018,$85.8202 USD
19 marzo 2018,"$85,7575 USD"
16 marzo 2018,$ 86.6708 USD
15 marzo 2018,$ 86.6799 USD
14 marzo 2018,$ 86.7400 USD
13 marzo 2018,$ 87.1448 USD
12 marzo 2018,$ 87.4563 USD
9 marzo 2018,"$87,1425 USD"
8 marzo 2018,$86.1939 USD
7 marzo 2018,"$85,7945 USD"
6 marzo 2018,$85.9069 USD
5 marzo 2018,$ 85.3314 USD
2 marzo 2018,$84.8081 USD
1 marzo 2018,"$84,9099 USD"
28 febbraio 2018,"$85,9177 USD"
27 febbraio 2018,"$86,8607 USD"
26 febbraio 2018,$ 87.5809 USD
23 febbraio 2018,"$86,8632 USD"
22 febbraio 2018,"$85,8927 USD"
21 febbraio 2018,"$85,9858 USD"
20 febbraio 2018,"$86,1385 USD"
19 febbraio 2018,$ 86.5486 USD
16 febbraio 2018,$86.6012 USD
15 febbraio 2018,"$86,3542 USD"
14 febbraio 2018,$ 85.2807 USD
13 febbraio 2018,$ 84.2199 USD
12 febbraio 2018,"$83,9610 USD"
9 febbraio 2018,"$82,9920 USD"
8 febbraio 2018,"$82,9885 USD"
7 febbraio 2018,"$85,0056 USD"
6 febbraio 2018,"$84,9394 USD"
5 febbraio 2018,$ 85.4378 USD
2 febbraio 2018,"$88,0405 USD"
1 febbraio 2018,$89.6361 USD
31 gennaio 2018,"$89,6662 USD"
30 gennaio 2018,"$89,6434 USD"
29 gennaio 2018,$ 90.5201 USD
26 gennaio 2018,$ 91.0788 USD
25 gennaio 2018,$ 90.4963 USD
24 gennaio 2018,"$90,3929 USD"
23 gennaio 2018,"$90,2457 USD"
22 gennaio 2018,$89.8020 USD
19 gennaio 2018,$89.2619 USD
18 gennaio 2018,$88.8393 USD
17 gennaio 2018,$88.9214 USD
16 gennaio 2018,$88.4926 USD
15 gennaio 2018,$88.6060 USD
12 gennaio 2018,"$88,2728 USD"
11 gennaio 2018,"$87,6927 USD"
10 gennaio 2018,$ 87.3629 USD
9 gennaio 2018,$ 87.3907 USD
8 gennaio 2018,"$87,2556 USD"
5 gennaio 2018,$ 87.1583 USD
4 gennaio 2018,$86.6011 USD
3 gennaio 2018,"$85,8988 USD"
2 gennaio 2018,$85.5056 USD
29 dicembre 2017,$ 84.9197 USD
28 dicembre 2017,"$84,9801 USD"
27 dicembre 2017,84.7573 $US
26 dicembre 2017,$ 84.5423 USD
22 dicembre 2017,"$84,5579 USD"
21 dicembre 2017,"$84,5365 USD"
20 dicembre 2017,$ 84.6498 USD
19 dicembre 2017,"$84,6665 USD"
18 dicembre 2017,$ 84.9140 USD
15 dicembre 2017,$ 84.1388 USD
14 dicembre 2017,"$83,8915 USD"
13 dicembre 2017,"$84,0823 USD"
12 dicembre 2017,"$83,9979 USD"
11 dicembre 2017,"$83,9678 USD"
8 dicembre 2017,$83.6118 USD
7 dicembre 2017,$83.1712 USD
6 dicembre 2017,"$82,9906 USD"
5 dicembre 2017,"$83,3429 USD"
4 dicembre 2017,"$83,5947 USD"
1 dicembre 2017,$83.4914 USD
30 novembre 2017,$83.8119 USD
29 novembre 2017,$ 83.5606 USD
28 novembre 2017,$ 83.5860 USD
27 novembre 2017,"83,1864 dollari USA"
24 novembre 2017,"83,3857 dollari USA"
23 novembre 2017,"83,1493 dollari USA"
22 novembre 2017,"83,0582 dollari USA"
21 novembre 2017,"82,8947 dollari USA"
20 novembre 2017,"82,3705 dollari USA"
17 novembre 2017,"82,2799 dollari USA"
16 novembre 2017,"82,2775 dollari USA"
15 novembre 2017,"81,6200 $US"
14 novembre 2017,"82,0766 dollari USA"
13 novembre 2017,"82,2279 dollari USA"
10 novembre 2017,"82,4347 dollari USA"
09 novembre 2017,"82,5471 dollari USA"
08 novembre 2017,"82,8334 dollari USA"
07 novembre 2017,"82,6903 dollari USA"
06 novembre 2017,"82,6569 dollari USA"
03 novembre 2017,"82,5901 dollari USA"
02 novembre 2017,"82,5306 dollari USA"
01 novembre 2017,"82,4589 dollari USA"
31 ottobre 2017,"82,2171 dollari USA"
30 ottobre 2017,"82,1040 dollari USA"
27 ottobre 2017,"82,0493 dollari USA"
26 ottobre 2017,"81,7272 dollari USA"
25 ottobre 2017,81.6955 $US
24 ottobre 2017,81.9482 $US
23 ottobre 2017,81.9202 $US
20 ottobre 2017,82.1309 $US
19 ottobre 2017,82.0312 $US
18 ottobre 2017,82.0125 $US
17 ottobre 2017,81.9014 $US
16 ottobre 2017,82.0461 $US
13 ottobre 2017,81.9335 $US
12 ottobre 2017,81.7269 $US
11 ottobre 2017,81.7015 $US
10 ottobre 2017,81.5424 $US
09 ottobre 2017,81.1300 $ USA
06 ottobre 2017,81.2012 $US
05 ottobre 2017,81.2639 $US
04 ottobre 2017,81.0717 $US
03 ottobre 2017,80.9717 $US
02 ottobre 2017,80.6774 $US
29 settembre 2017,80.5318 $US
28 settembre 2017,80.1586 $US
27 settembre 2017,80.0264 $US
26 settembre 2017,79.8480 $US
25 settembre 2017,80.1178 $US
22 settembre 2017,80.4192 $US
21 settembre 2017,80.3198 $US
20 settembre 2017,81.0207 $ USA
19 settembre 2017,"$80,9024 USD"
18 settembre 2017,$ 80.7175 USD
15 settembre 2017,$ 80.5326 USD
14 settembre 2017,$ 80.3459 USD
13 settembre 2017,$ 80.4431 USD
12 settembre 2017,$ 80.5242 USD
11 settembre 2017,$ 80.2766 USD
8 settembre 2017,$79.6060 USD
7 settembre 2017,$79.5871 USD
6 settembre 2017,$ 79.3200 USD
5 settembre 2017,$79.1702 USD
4 settembre 2017,$79.4503 USD
1 settembre 2017,$79.6120 USD
31 agosto 2017,$ 79.3507 USD
30 agosto 2017,"$78,9152 USD"
29 agosto 2017,"$78,7755 USD"
28 agosto 2017,$78.8483 USD
25 agosto 2017,$78.7711 USD
24 agosto 2017,$78.5436 USD
23 agosto 2017,$78.5695 USD
22 agosto 2017,$78.6492 USD
21 agosto 2017,$78.1323 USD
18 agosto 2017,$78.0394 USD
17 agosto 2017,$78.2913 USD
16 agosto 2017,"$78,8733 USD"
15 agosto 2017,$78.6181 USD
14 agosto 2017,$78.7451 USD
11 agosto 2017,$78.1322 USD
10 agosto 2017,$ 78.3400 USD
9 agosto 2017,$79.1398 USD
8 agosto 2017,$79.3868 USD
7 agosto 2017,$79.5359 USD
4 agosto 2017,"$79,3424 USD"
3 agosto 2017,$ 79.3497 USD
2 agosto 2017,$79.4389 USD
1 agosto 2017,$79.4068 USD
31 luglio 2017,"$79,0358 USD"
28 luglio 2017,"$78,9710 USD"
27 luglio 2017,"$79,1528 USD"
26 luglio 2017,"$79,0098 USD"
25 luglio 2017,"$78,9739 USD"
24 luglio 2017,"$78,7957 USD"
21 luglio 2017,$78.9117 USD
20 luglio 2017,"$79,0723 USD"
19 luglio 2017,"$78,8983 USD"
18 luglio 2017,$78.5218 USD
17 luglio 2017,$78.4752 USD
14 luglio 2017,$78.4145 USD
13 luglio 2017,"$77,9554 USD"
12 luglio 2017,"$77,7065 USD"
